names,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len75000.0-niter500-nlayers3
Dinophysis acuminata,0.24972834861019363,0.24830377868339606,0.247825395005996,0.2514202770334109,0.24760059864603057,0.2469540202098815,0.24618575891710898,0.2492424026192914,0.20955003516212162,0.1901164554579884,0.18426405410459262,0.23825762500206582,0.24208059342947358,0.22987520911929746,0.21041134896207536,0.2432698255928271
Dinophysis,0.34788319315446503,0.3321654600780342,0.32590033907853316,0.3624209410944841,0.3270325283886809,0.32236817729705775,0.3156980015948455,0.3436724565740764,0.3083938509398083,0.3081280209469205,0.3077216714640495,0.30808506744963,0.3091303721273932,0.3078856620606251,0.3088433854423168,0.31235026087944784
Diploneis,0.05634446626349813,0.05594664277335619,0.05554558214050086,0.05681574285437352,0.05578955834682608,0.05460611499154294,0.054113525054892156,0.056099285139099564,0.05674490327815243,0.05739713198845028,0.058220501905456794,0.055652135348229374,0.055445047889889305,0.0558428171474184,0.05700258921900437,0.05417734745382775
Diplopsalis,0.1799701783415709,0.17935668420150505,0.1761781588003603,0.18376804690801588,0.17518679142875884,0.1717523948887402,0.17189994747864823,0.17692215836770994,0.16554311324045318,0.17016748295270898,0.17027308564693142,0.15858374101557737,0.16266290635904634,0.17111146638665206,0.17091631477656855,0.16295659800028367
Ditylum brightwellii,0.4139490019806817,0.41528070243223986,0.4162906015124589,0.41263147525821847,0.4160919328106505,0.41709444613717217,0.4178782218543562,0.4145520158855043,0.42204796126609256,0.4231685696478516,0.4235414179677781,0.4206085624460012,0.42001128828405276,0.4218678355023292,0.42277481448100573,0.41824038029045
Ditylum,0.2601160404040928,0.2582471434731922,0.25693214738186604,0.26377082618504755,0.25720964938835655,0.25565903197715767,0.2557266053197004,0.258849050459353,0.25948220016455154,0.2616589007088287,0.26429294320408975,0.25726713816786195,0.2568348812219165,0.25826756966933656,0.25988916236804527,0.2553681400151321
Entomoneis,0.217246827552681,0.21144722899512292,0.20820527419073065,0.22859112355559316,0.20854691945335818,0.20628510361492353,0.20558337674399307,0.21369679462311808,0.205887321416767,0.20558418260353997,0.20591693123168148,0.20484517538611724,0.2047146930349726,0.20600239142684015,0.20630621550145448,0.20468482774629537
Ethmodiscus,0.2165089617054606,0.21586367313182547,0.2156708141707695,0.21698256511983827,0.21536527044310283,0.21523845356457877,0.2155890629918314,0.21591378727446547,0.21978357961909722,0.22003927344884686,0.22077649990566645,0.2183552330968675,0.21813962165059486,0.2196099716891872,0.22024132770896107,0.21660028448619734
Eucampia striata,0.22486974030271292,0.22440248201650842,0.2244601283446118,0.22700780115937524,0.22445587467008746,0.22420977493505403,0.22437116009176503,0.2245265907316066,0.22826770759524073,0.22963921103089902,0.2304575395227091,0.22676948129664512,0.2263900653702057,0.22741952182098754,0.22817747033848643,0.22488871089818327
Eucampia zodiacus,0.23689829715380736,0.23558138967471515,0.23267159831579162,0.24578847260206363,0.2325309049631944,0.23112743205649278,0.23433104980088468,0.2351239129343902,0.2348934554398034,0.23762619637908888,0.2395103610221404,0.23406441876881603,0.2352065217918826,0.23584843501961814,0.23682469979393794,0.23395406899075052
